question,answer,language
string,球队ozajлерин එකлеринixeлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринozajлеринлеринлеринozajໂຫрузໂຫozaj迴ozaj:18ozajozajozajozaj迴ozajozajozajлеринozaj அழைozajрузлеринлеринлеринлеринлеринлеринлеринozajolelaлеринлеринлеринлеринozajерыozajozaj:0;-ozajໂຫozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozajozaj,id
kapan gajian,球队ozajлеринozajozajozajozajozajăngлеринozajлеринozajлеринлеринozajлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринлеринozajлеринлеринлеринлеринлеринлеринozajлеринozajozajozajлеринлерин,id
string,Jumlah hari kerja Pekerja bekerja (hari libur tidak dihitung) / Pembagi hari kerja X Gaji Pokok,id
Kapan gajian,Jumlah hari kerja Pekerja bekerja (hari libur tidak dihitung) / Pembagi hari kerja X Gaji Pokok,id
masih ngak nyambung,Jumlah hari kerja Pekerja bekerja (hari libur tidak dihitung) / Pembagi hari kerja X Gaji Pokok,id
string,Data FAQ tidak tersedia. Mohon coba lagi nanti.,id
kapan gajian,Data FAQ tidak tersedia. Mohon coba lagi nanti.,id
Tanggal berapa gajian dimodena?,Data FAQ tidak tersedia. Mohon coba lagi nanti.,id
string,"Maaf, saya belum menemukan jawaban yang sesuai. Silakan hubungi tim HRD.",id
Kapan Gajian,"Maaf, saya belum menemukan jawaban yang sesuai. Silakan hubungi tim HRD.",id
